x,y,z
1123188.1162,1778425.78434,3840.19643092
1123191.20575,1778425.48985,3840.20504896
1123192.84102,1778425.72696,3840.12970684
1123188.1169,1778426.00705,3840.06312313
1123191.26659,1778425.91527,3840.06303724
1123188.03656,1778420.95767,3838.7915638
1123184.93665,1778419.69909,3838.79415698
1123186.52104,1778419.97052,3838.86085616
1123189.5533,1778421.0635,3838.8624047
1123191.29838,1778422.22077,3838.79234405
1123186.65068,1778420.80873,3838.72494808
1123189.7236,1778422.11385,3838.7256661
1123189.77006,1778418.16046,3837.72822047
1123187.88543,1778417.7836,3837.78147148
1123189.58836,1778419.35397,3837.79756816
1123186.78688,1778415.78653,3837.72656969
1123191.51681,1778419.54444,3837.73462719
1123188.41051,1778415.66491,3837.65995152
1123191.33281,1778417.93215,3837.66107375
1123231.74731,1778402.49998,3839.71807414
1123232.14998,1778398.51821,3839.79824736
1123233.47911,1778398.20703,3839.72148029
1123230.49089,1778402.57589,3839.79738629
1123253.83181,1777802.57367,3837.64718196
1123252.79298,1777797.46519,3837.66088866
1123254.39148,1777797.37283,3837.58865827
1123255.3338,1777802.75194,3837.5778314
1123256.5214,1777801.75553,3837.51032215
1123256.54207,1777805.54451,3837.53106693
1123255.73484,1777797.09014,3837.51949465
1123257.77592,1777806.06745,3837.46384697
1123257.11286,1777797.9043,3837.4488551
1123257.45688,1777801.75553,3837.45713852
1123258.195,1777798.00177,3837.3815297
1123258.30064,1777801.75553,3837.40450849
1123258.95316,1777806.17964,3837.38993038
1123259.35063,1777801.62399,3837.33060658
1123221.2307,1777779.42318,3838.19469504
1123223.93124,1777780.53792,3838.17980512
1123223.0332,1777783.34015,3838.21243659
1123222.76578,1777777.15885,3838.16017572
1123224.32946,1777775.04193,3838.12414548
1123225.99522,1777778.7823,3838.14192513
1123219.77862,1777899.86354,3838.33426668
1123218.23694,1777904.33216,3838.33562664
1123217.74423,1777898.89733,3838.36713195
1123219.29904,1777894.36851,3838.36516466
1123221.30178,1777895.37945,3838.33177921
1123222.44676,1777898.80826,3838.29803785
1123220.89937,1777903.35883,3838.30064603
1123215.27343,1777891.95024,3838.4253683
1123214.10775,1777895.2999,3838.42615739
1123213.11393,1777890.67989,3838.45316606
1123214.65062,1777886.18217,3838.45177983
1123216.82067,1777887.43527,3838.42328723
1123218.09968,1777890.89252,3838.39502531
1123216.57211,1777895.38013,3838.39686582
1123241.63501,1777783.82774,3837.91490481
1123241.36566,1777789.27427,3837.96576144
1123239.79006,1777784.76815,3837.96650635
1123243.0533,1777788.28765,3837.91620519
1123224.39175,1777770.10135,3838.07068636
1123222.44436,1777771.21163,3838.1021126
1123222.87513,1777766.93185,3838.04849029
1123227.16475,1777770.94544,3838.04841978
1123225.91559,1777773.1195,3838.08713112
1123224.7718,1777765.0834,3838.00610088
1123225.91559,1777768.02857,3838.02986037
